alim_code;alim_nom_fr;alim_carbo;alim_image_url;code
39248;Mousse au chocolat végétale, préemballée;24,3;;39248
25564;Tarte aux noix de Saint-Jacques, préemballée;24,2;;25564
39521;Glace ou crème glacée, gourmande, en pot;24,2;;39521
20990;Kombu ou kombu japonais (Laminaria japonica), séchée ou déshydratée;24,2;;20990
12356;Snack pour enfants à base de fromage fondu et de gressins;24,1;;12356
9611;Semoule de blé dur, cuite, non salée;24;;9611
13108;Compote, tout type de fruits;23,9;;13108
25502;Burger au poulet;23,8;;25502
53502;Igname, épluchée, crue;23,8;;53502
11306;Ail, rôti/cuit au four;23,8;;11306
25608;Taboulé ou Salade de couscous, préemballé;23,7;https://3.bp.blogspot.com/-tx9iTUCQiJ4/XwdeqoDWJjI/AAAAAAABPFw/a71i-VRJcmY6JYk4cU5gaH0A7cGatbaDQCLcBGAsYHQ/s660/taboule-marocain.jpg;25608
25560;Tourte au riesling, préemballée;23,7;;25560
25577;Sandwich pain de mie complet, poulet, crudités, mayonnaise, préemballé;23,7;https://images.unsplash.com/photo-1567234669003-dce7a7a88821?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1950&q=80;25577
25584;Nem ou Pâté impérial, aux crevettes et/ou au crabe, préemballé, cuit;23,7;;25584
25088;Riz cantonais;23,6;;25088
25429;Sandwich grec ou Kebab, baguette, crudités;23,6;https://ds1.static.rtbf.be/article/image/770x433/9/1/c/eb7d4aadf8d06f4e920765ed887247e7-1525700531.jpg;25429
53503;Igname, épluchée, bouillie/cuite à l'eau;23,6;;53503
8933;Quenelle de poisson, crue;23,6;;8933
19688;Baba au rhum, préemballé;23,6;;19688
20986;Kombu royal (Saccharina latissima), séchée ou déshydratée;23,6;;20986
9621;Son de blé;23,6;;9621
13172;Boisson infantile céréales lactées aux légumes pour diner dès 12 mois;23,6;;13172
25529;Tarte à l'oignon, préemballée;23,5;;25529
25412;Bouchée à la reine, à la viande/volaille/quenelle;23,5;;25412
15055;Noix de cajou, grillée à sec, non salée;23,5;;15055
39519;Poire belle Hélène;23,5;;39519
